,ds,y
907,2017-08-16,51.29
908,2017-08-17,49.9
909,2017-08-18,50.39
910,2017-08-21,51.94
911,2017-08-22,52.29
912,2017-08-23,51.94
913,2017-08-24,52.29
914,2017-08-25,52.31
915,2017-08-28,51.87
916,2017-08-29,51.64
917,2017-08-30,51.87
918,2017-08-31,51.64
919,2017-09-01,51.91
920,2017-09-05,53.63
921,2017-09-06,52.6
922,2017-09-07,53.63
923,2017-09-08,54.48
924,2017-09-11,54.2
925,2017-09-12,55.06
926,2017-09-13,54.2
927,2017-09-14,55.06
928,2017-09-15,55.52
929,2017-09-18,55.5
930,2017-09-19,56.58
931,2017-09-20,55.5
932,2017-09-21,56.58
933,2017-09-22,57.2
934,2017-09-25,59.42
935,2017-09-26,59.77
936,2017-09-27,59.42
937,2017-09-28,59.77
938,2017-09-29,58.74
939,2017-10-02,55.67
940,2017-10-03,56.12
941,2017-10-04,55.67
942,2017-10-05,56.12
943,2017-10-06,56.0
944,2017-10-09,55.29
945,2017-10-10,56.62
946,2017-10-11,55.29
947,2017-10-12,56.62
948,2017-10-13,56.13
949,2017-10-16,57.49
950,2017-10-17,57.63
951,2017-10-18,57.49
952,2017-10-19,57.63
953,2017-10-20,58.05
954,2017-10-23,57.69
955,2017-10-24,57.84
956,2017-10-25,57.69
957,2017-10-26,57.84
958,2017-10-27,58.45
959,2017-10-30,60.65
960,2017-10-31,61.35
961,2017-11-01,60.65
962,2017-11-02,61.35
963,2017-11-03,60.98
964,2017-11-06,64.27
965,2017-11-07,64.36
966,2017-11-08,64.27
967,2017-11-09,64.36
968,2017-11-10,63.96
969,2017-11-13,62.94
970,2017-11-14,60.91
971,2017-11-15,62.94
972,2017-11-16,60.91
973,2017-11-17,61.25
974,2017-11-20,61.34
975,2017-11-21,62.28
976,2017-11-22,61.34
977,2017-11-24,62.92
978,2017-11-27,63.25
979,2017-11-28,63.56
980,2017-11-29,63.25
981,2017-11-30,63.56
982,2017-12-01,63.74
983,2017-12-04,63.45
984,2017-12-05,63.45
985,2017-12-06,63.45
986,2017-12-07,63.45
987,2017-12-08,62.25
988,2017-12-11,65.62
989,2017-12-12,64.96
990,2017-12-13,65.62
991,2017-12-14,64.96
992,2017-12-15,63.66
993,2017-12-18,64.45
994,2017-12-19,63.69
995,2017-12-20,64.45
996,2017-12-21,63.69
997,2017-12-22,64.43
998,2017-12-26,64.61
999,2017-12-27,66.03
1000,2017-12-28,64.61
1001,2017-12-29,66.03
1002,2018-01-02,66.65
1003,2018-01-03,66.65
1004,2018-01-04,66.65
1005,2018-01-05,67.85
1006,2018-01-08,68.48
1007,2018-01-09,69.08
1008,2018-01-10,68.48
1009,2018-01-11,69.08
1010,2018-01-12,69.79
1011,2018-01-16,69.4
1012,2018-01-17,70.31
1013,2018-01-18,69.4
1014,2018-01-19,69.19
1015,2018-01-22,69.32
1016,2018-01-23,69.81
1017,2018-01-24,69.32
1018,2018-01-25,69.81
1019,2018-01-26,69.91
1020,2018-01-29,68.41
1021,2018-01-30,67.78
1022,2018-01-31,68.41
1023,2018-02-01,67.78
1024,2018-02-02,67.78
1025,2018-02-05,67.69
1026,2018-02-06,66.75
1027,2018-02-07,67.69
1028,2018-02-08,66.75
1029,2018-02-09,65.74
1030,2018-02-12,62.2
1031,2018-02-13,61.94
1032,2018-02-14,62.2
1033,2018-02-15,61.94
1034,2018-02-16,62.29
1035,2018-02-20,64.95
1036,2018-02-21,64.68
1037,2018-02-22,64.81
1038,2018-02-23,66.12
1039,2018-02-26,67.96
1040,2018-02-27,67.96
1041,2018-02-28,67.59
1042,2018-03-01,66.08
1043,2018-03-02,64.23
1044,2018-03-05,65.78
1045,2018-03-06,65.78
1046,2018-03-07,65.67
1047,2018-03-08,65.09
1048,2018-03-09,63.87
1049,2018-03-12,64.53
1050,2018-03-13,64.53
1051,2018-03-14,64.2
1052,2018-03-15,63.61
1053,2018-03-16,63.67
1054,2018-03-19,64.82
1055,2018-03-20,64.82
1056,2018-03-21,66.0
1057,2018-03-22,68.15
1058,2018-03-23,68.98
1059,2018-03-26,68.81
1060,2018-03-27,68.81
1061,2018-03-28,68.63
1062,2018-03-29,68.13
1063,2018-04-04,69.02
1064,2018-04-05,66.04
1065,2018-04-06,66.54
1066,2018-04-09,68.19
1067,2018-04-10,68.19
